idInmueble;urlInmueble;fuenteInfo;tipoInmueble;tipoOperacion;precio;habitaciones;tamano;planta;distrito;ciudad;fecha;eficienciaEnergetica;ascensor;terraza;trastero;garaje;balcon;aireAcondicinado;piscina;banos
158146714;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-jardin-ascensor-amueblado/158146714/d;fotocasa;0;2;750;0;45;2;tetuan;madrid-capital;06/01/2021;C;True;False;False;No-detallado;False;True;False;1
158131541;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero-ascensor/158131541/d;fotocasa;0;2;2500;4;180;0;tetuan;madrid-capital;06/01/2021;C;True;False;True;No-detallado;False;True;False;4
158081646;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor/158081646/d;fotocasa;0;2;1680;2;117;7;tetuan;madrid-capital;06/01/2021;C;True;False;False;No-detallado;False;True;False;2
158145813;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/terraza-trastero/158145813/d;fotocasa;0;2;800;3;70;0;tetuan;madrid-capital;06/01/2021;C;False;True;True;No-detallado;False;False;False;1
158145506;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-parking-ascensor-se-aceptan-mascotas-no-amueblado/158145506/d;fotocasa;0;2;700;2;40;1;tetuan;madrid-capital;06/01/2021;C;True;False;False;Privado;False;False;False;1
158145480;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-parking-ascensor-se-aceptan-mascotas-no-amueblado/158145480/d;fotocasa;0;2;625;2;45;1;tetuan;madrid-capital;06/01/2021;C;True;False;False;Privado;False;False;False;1
158145438;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-parking-ascensor-se-aceptan-mascotas-no-amueblado/158145438/d;fotocasa;0;2;600;1;40;2;tetuan;madrid-capital;06/01/2021;C;True;False;False;Privado;False;False;False;1
158143864;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-amueblado/158143864/d;fotocasa;0;2;1100;2;78;0;tetuan;madrid-capital;06/01/2021;C;False;False;False;No-detallado;False;True;False;1
158143360;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-ascensor-amueblado-se-aceptan-mascotas/158143360/d;fotocasa;0;2;790;2;55;1;tetuan;madrid-capital;06/01/2021;C;True;False;False;No-detallado;False;True;False;1
158139906;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado/158139906/d;fotocasa;0;2;650;1;42;0;tetuan;madrid-capital;06/01/2021;C;True;False;False;No-detallado;False;True;False;1
158139649;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-terraza-trastero-ascensor-no-amueblado/158139649/d;fotocasa;0;2;800;1;50;0;tetuan;madrid-capital;06/01/2021;C;True;True;True;No-detallado;True;False;False;1
158139077;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-trastero-ascensor-amueblado/158139077/d;fotocasa;0;2;650;1;40;0;tetuan;madrid-capital;06/01/2021;C;True;False;True;No-detallado;False;True;False;1
157846109;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado-parking/157846109/d;fotocasa;0;2;700;1;45;2;tetuan;madrid-capital;06/01/2021;C;True;False;False;Comunitario;False;True;False;1
157450435;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/ascensor/157450435/d;fotocasa;0;2;900;1;25;4;tetuan;madrid-capital;06/01/2021;C;True;False;False;No-detallado;False;False;False;1
157451154;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/almenara--ventilla/157451154/d;fotocasa;0;2;900;1;25;4;tetuan;madrid-capital;06/01/2021;C;False;False;False;No-detallado;False;False;False;1
157451151;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/almenara--ventilla/157451151/d;fotocasa;0;2;900;1;25;4;tetuan;madrid-capital;06/01/2021;C;False;False;False;No-detallado;False;False;False;1
157450438;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/ascensor/157450438/d;fotocasa;0;2;900;1;25;4;tetuan;madrid-capital;06/01/2021;C;True;False;False;No-detallado;False;False;False;1
157450430;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/ascensor/157450430/d;fotocasa;0;2;900;1;25;4;tetuan;madrid-capital;06/01/2021;C;True;False;False;No-detallado;False;False;False;1
158138162;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-zona-comunitaria-ascensor/158138162/d;fotocasa;0;2;750;1;45;0;tetuan;madrid-capital;06/01/2021;C;True;False;False;No-detallado;False;True;False;1
158135538;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/terraza/158135538/d;fotocasa;0;2;600;1;33;1;tetuan;madrid-capital;06/01/2021;C;False;True;False;No-detallado;True;False;False;1
158134869;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-patio-amueblado/158134869/d;fotocasa;0;2;675;1;31;0;tetuan;madrid-capital;06/01/2021;C;False;False;False;No-detallado;False;True;False;1
158133274;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-trastero-ascensor-parking/158133274/d;fotocasa;0;2;1150;1;53;4;tetuan;madrid-capital;06/01/2021;C;True;True;True;Comunitario;False;True;False;1
158132940;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-amueblado-television/158132940/d;fotocasa;0;2;675;1;28;0;tetuan;madrid-capital;06/01/2021;C;False;False;False;No-detallado;False;False;False;1
158130470;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza/158130470/d;fotocasa;0;2;900;1;46;0;tetuan;madrid-capital;06/01/2021;C;False;True;False;No-detallado;False;True;False;1
